filepath,weather,date,cameraid,time,parkingspaceid,Ground Truth,Prediction
data/PATCHES/SUNNY/2016-01-16/camera8/S_2016-01-16_08.49_C08_212.jpg,SUNNY,2016-01-16,camera8,08.49,212,0,0
data/PATCHES/SUNNY/2015-12-17/camera6/S_2015-12-17_13.51_C06_311.jpg,SUNNY,2015-12-17,camera6,13.51,311,1,1
data/PATCHES/OVERCAST/2015-12-03/camera5/O_2015-12-03_12.48_C05_274.jpg,OVERCAST,2015-12-03,camera5,12.48,274,1,1
data/PATCHES/SUNNY/2016-01-16/camera9/S_2016-01-16_14.40_C09_291.jpg,SUNNY,2016-01-16,camera9,14.40,291,0,0
data/PATCHES/SUNNY/2015-12-17/camera7/S_2015-12-17_10.24_C07_208.jpg,SUNNY,2015-12-17,camera7,10.24,208,1,1
data/PATCHES/OVERCAST/2015-12-03/camera6/O_2015-12-03_09.19_C06_273.jpg,OVERCAST,2015-12-03,camera6,09.19,273,0,0
data/PATCHES/SUNNY/2016-01-16/camera9/S_2016-01-16_13.40_C09_327.jpg,SUNNY,2016-01-16,camera9,13.40,327,0,0
data/PATCHES/SUNNY/2016-01-16/camera4/S_2016-01-16_11.07_C04_230.jpg,SUNNY,2016-01-16,camera4,11.07,230,0,0
data/PATCHES/RAINY/2015-12-22/camera9/R_2015-12-22_09.54_C09_329.jpg,RAINY,2015-12-22,camera9,09.54,329,0,0
data/PATCHES/SUNNY/2016-01-16/camera3/S_2016-01-16_10.05_C03_189.jpg,SUNNY,2016-01-16,camera3,10.05,189,0,0
data/PATCHES/RAINY/2016-02-12/camera6/R_2016-02-12_12.24_C06_204.jpg,RAINY,2016-02-12,camera6,12.24,204,1,1
data/PATCHES/RAINY/2016-02-12/camera5/R_2016-02-12_10.00_C05_267.jpg,RAINY,2016-02-12,camera5,10.00,267,1,1
data/PATCHES/RAINY/2015-12-22/camera8/R_2015-12-22_15.57_C08_288.jpg,RAINY,2015-12-22,camera8,15.57,288,0,0
data/PATCHES/OVERCAST/2015-12-03/camera1/O_2015-12-03_13.11_C01_263.jpg,OVERCAST,2015-12-03,camera1,13.11,263,1,1
data/PATCHES/OVERCAST/2015-12-03/camera1/O_2015-12-03_14.11_C01_187.jpg,OVERCAST,2015-12-03,camera1,14.11,187,1,1
data/PATCHES/OVERCAST/2015-12-03/camera8/O_2015-12-03_11.45_C08_216.jpg,OVERCAST,2015-12-03,camera8,11.45,216,1,1
data/PATCHES/OVERCAST/2015-12-03/camera5/O_2015-12-03_15.18_C05_264.jpg,OVERCAST,2015-12-03,camera5,15.18,264,1,1
data/PATCHES/RAINY/2015-12-22/camera7/R_2015-12-22_11.54_C07_242.jpg,RAINY,2015-12-22,camera7,11.54,242,1,1
data/PATCHES/OVERCAST/2015-12-03/camera4/O_2015-12-03_16.17_C04_264.jpg,OVERCAST,2015-12-03,camera4,16.17,264,1,1
data/PATCHES/RAINY/2016-02-12/camera8/R_2016-02-12_15.40_C08_281.jpg,RAINY,2016-02-12,camera8,15.40,281,1,1
data/PATCHES/SUNNY/2015-12-17/camera5/S_2015-12-17_15.56_C05_198.jpg,SUNNY,2015-12-17,camera5,15.56,198,1,1
data/PATCHES/RAINY/2016-02-12/camera9/R_2016-02-12_12.12_C09_255.jpg,RAINY,2016-02-12,camera9,12.12,255,1,1
data/PATCHES/SUNNY/2016-01-16/camera7/S_2016-01-16_11.43_C07_284.jpg,SUNNY,2016-01-16,camera7,11.43,284,1,1
data/PATCHES/SUNNY/2015-12-17/camera4/S_2015-12-17_16.21_C04_228.jpg,SUNNY,2015-12-17,camera4,16.21,228,1,1
data/PATCHES/RAINY/2016-02-12/camera4/R_2016-02-12_15.11_C04_224.jpg,RAINY,2016-02-12,camera4,15.11,224,1,1
data/PATCHES/RAINY/2016-02-12/camera9/R_2016-02-12_11.12_C09_296.jpg,RAINY,2016-02-12,camera9,11.12,296,1,1
data/PATCHES/SUNNY/2016-01-16/camera8/S_2016-01-16_11.51_C08_314.jpg,SUNNY,2016-01-16,camera8,11.51,314,0,0
data/PATCHES/SUNNY/2015-12-17/camera8/S_2015-12-17_12.44_C08_314.jpg,SUNNY,2015-12-17,camera8,12.44,314,1,1
data/PATCHES/SUNNY/2015-12-17/camera8/S_2015-12-17_13.14_C08_320.jpg,SUNNY,2015-12-17,camera8,13.14,320,1,1
data/PATCHES/RAINY/2016-02-12/camera1/R_2016-02-12_15.40_C01_222.jpg,RAINY,2016-02-12,camera1,15.40,222,1,1
data/PATCHES/OVERCAST/2015-12-03/camera8/O_2015-12-03_16.24_C08_327.jpg,OVERCAST,2015-12-03,camera8,16.24,327,0,0
data/PATCHES/RAINY/2016-02-12/camera9/R_2016-02-12_14.42_C09_253.jpg,RAINY,2016-02-12,camera9,14.42,253,1,1
data/PATCHES/SUNNY/2016-01-16/camera1/S_2016-01-16_17.05_C01_265.jpg,SUNNY,2016-01-16,camera1,17.05,265,0,0
data/PATCHES/OVERCAST/2015-12-03/camera8/O_2015-12-03_15.22_C08_216.jpg,OVERCAST,2015-12-03,camera8,15.22,216,1,1
data/PATCHES/SUNNY/2016-01-16/camera3/S_2016-01-16_14.35_C03_223.jpg,SUNNY,2016-01-16,camera3,14.35,223,0,0
data/PATCHES/OVERCAST/2015-12-03/camera7/O_2015-12-03_12.20_C07_246.jpg,OVERCAST,2015-12-03,camera7,12.20,246,1,1
data/PATCHES/SUNNY/2015-12-17/camera8/S_2015-12-17_16.46_C08_284.jpg,SUNNY,2015-12-17,camera8,16.46,284,1,1
data/PATCHES/RAINY/2016-02-12/camera2/R_2016-02-12_13.05_C02_601.jpg,RAINY,2016-02-12,camera2,13.05,601,1,1
data/PATCHES/RAINY/2015-12-22/camera7/R_2015-12-22_15.24_C07_246.jpg,RAINY,2015-12-22,camera7,15.24,246,1,1
data/PATCHES/SUNNY/2015-12-17/camera3/S_2015-12-17_13.18_C03_299.jpg,SUNNY,2015-12-17,camera3,13.18,299,1,1
data/PATCHES/RAINY/2016-02-12/camera8/R_2016-02-12_09.02_C08_213.jpg,RAINY,2016-02-12,camera8,09.02,213,0,0
data/PATCHES/SUNNY/2016-01-16/camera8/S_2016-01-16_17.23_C08_321.jpg,SUNNY,2016-01-16,camera8,17.23,321,0,0
data/PATCHES/RAINY/2016-02-12/camera3/R_2016-02-12_09.06_C03_604.jpg,RAINY,2016-02-12,camera3,09.06,604,1,1
data/PATCHES/RAINY/2015-12-22/camera4/R_2015-12-22_15.51_C04_195.jpg,RAINY,2015-12-22,camera4,15.51,195,1,1
data/PATCHES/RAINY/2015-12-22/camera7/R_2015-12-22_12.24_C07_611.jpg,RAINY,2015-12-22,camera7,12.24,611,1,1
data/PATCHES/SUNNY/2016-01-16/camera5/S_2016-01-16_11.42_C05_198.jpg,SUNNY,2016-01-16,camera5,11.42,198,0,0
data/PATCHES/RAINY/2016-02-12/camera7/R_2016-02-12_10.55_C07_238.jpg,RAINY,2016-02-12,camera7,10.55,238,1,1
data/PATCHES/SUNNY/2015-12-17/camera5/S_2015-12-17_16.56_C05_234.jpg,SUNNY,2015-12-17,camera5,16.56,234,1,1
data/PATCHES/RAINY/2016-02-12/camera8/R_2016-02-12_17.12_C08_315.jpg,RAINY,2016-02-12,camera8,17.12,315,1,1
data/PATCHES/SUNNY/2015-12-17/camera5/S_2015-12-17_10.26_C05_298.jpg,SUNNY,2015-12-17,camera5,10.26,298,1,1
data/PATCHES/OVERCAST/2015-12-03/camera8/O_2015-12-03_07.41_C08_253.jpg,OVERCAST,2015-12-03,camera8,07.41,253,1,1
data/PATCHES/RAINY/2015-12-22/camera8/R_2015-12-22_14.26_C08_314.jpg,RAINY,2015-12-22,camera8,14.26,314,1,1
data/PATCHES/SUNNY/2016-01-16/camera4/S_2016-01-16_09.07_C04_193.jpg,SUNNY,2016-01-16,camera4,09.07,193,0,0
data/PATCHES/OVERCAST/2015-12-03/camera7/O_2015-12-03_11.50_C07_246.jpg,OVERCAST,2015-12-03,camera7,11.50,246,1,1
data/PATCHES/OVERCAST/2015-12-03/camera4/O_2015-12-03_10.17_C04_231.jpg,OVERCAST,2015-12-03,camera4,10.17,231,1,1
data/PATCHES/RAINY/2016-02-12/camera1/R_2016-02-12_12.10_C01_186.jpg,RAINY,2016-02-12,camera1,12.10,186,1,1
data/PATCHES/RAINY/2015-12-22/camera5/R_2015-12-22_12.23_C05_271.jpg,RAINY,2015-12-22,camera5,12.23,271,1,1
data/PATCHES/OVERCAST/2015-12-03/camera9/O_2015-12-03_08.17_C09_325.jpg,OVERCAST,2015-12-03,camera9,08.17,325,0,0
data/PATCHES/RAINY/2015-12-22/camera8/R_2015-12-22_08.51_C08_212.jpg,RAINY,2015-12-22,camera8,08.51,212,0,0
data/PATCHES/RAINY/2015-12-22/camera8/R_2015-12-22_15.57_C08_293.jpg,RAINY,2015-12-22,camera8,15.57,293,1,1
data/PATCHES/SUNNY/2015-12-17/camera6/S_2015-12-17_12.51_C06_277.jpg,SUNNY,2015-12-17,camera6,12.51,277,1,1
data/PATCHES/RAINY/2016-02-12/camera8/R_2016-02-12_13.38_C08_329.jpg,RAINY,2016-02-12,camera8,13.38,329,1,1
data/PATCHES/OVERCAST/2015-12-03/camera6/O_2015-12-03_07.19_C06_313.jpg,OVERCAST,2015-12-03,camera6,07.19,313,0,0
data/PATCHES/SUNNY/2015-12-17/camera1/S_2015-12-17_16.18_C01_221.jpg,SUNNY,2015-12-17,camera1,16.18,221,1,1
data/PATCHES/RAINY/2016-02-12/camera6/R_2016-02-12_08.24_C06_307.jpg,RAINY,2016-02-12,camera6,08.24,307,0,1
data/PATCHES/RAINY/2015-12-22/camera6/R_2015-12-22_12.52_C06_314.jpg,RAINY,2015-12-22,camera6,12.52,314,1,1
data/PATCHES/RAINY/2015-12-22/camera5/R_2015-12-22_12.53_C05_273.jpg,RAINY,2015-12-22,camera5,12.53,273,1,1
data/PATCHES/RAINY/2016-02-12/camera5/R_2016-02-12_11.30_C05_233.jpg,RAINY,2016-02-12,camera5,11.30,233,1,1
data/PATCHES/RAINY/2016-02-12/camera4/R_2016-02-12_07.41_C04_226.jpg,RAINY,2016-02-12,camera4,07.41,226,0,0
data/PATCHES/RAINY/2016-02-12/camera5/R_2016-02-12_10.00_C05_270.jpg,RAINY,2016-02-12,camera5,10.00,270,1,1
data/PATCHES/OVERCAST/2015-12-03/camera8/O_2015-12-03_16.24_C08_250.jpg,OVERCAST,2015-12-03,camera8,16.24,250,1,1
data/PATCHES/RAINY/2015-12-22/camera5/R_2015-12-22_09.23_C05_304.jpg,RAINY,2015-12-22,camera5,09.23,304,0,1
data/PATCHES/SUNNY/2016-01-16/camera8/S_2016-01-16_14.22_C08_329.jpg,SUNNY,2016-01-16,camera8,14.22,329,0,0
data/PATCHES/OVERCAST/2015-12-03/camera6/O_2015-12-03_13.19_C06_235.jpg,OVERCAST,2015-12-03,camera6,13.19,235,1,1
data/PATCHES/SUNNY/2016-01-16/camera6/S_2016-01-16_15.39_C06_309.jpg,SUNNY,2016-01-16,camera6,15.39,309,0,0
data/PATCHES/RAINY/2015-12-22/camera5/R_2015-12-22_10.53_C05_197.jpg,RAINY,2015-12-22,camera5,10.53,197,1,1
data/PATCHES/OVERCAST/2015-12-03/camera5/O_2015-12-03_11.18_C05_276.jpg,OVERCAST,2015-12-03,camera5,11.18,276,1,1
data/PATCHES/SUNNY/2015-12-17/camera8/S_2015-12-17_16.16_C08_284.jpg,SUNNY,2015-12-17,camera8,16.16,284,1,1
data/PATCHES/RAINY/2016-02-12/camera6/R_2016-02-12_16.54_C06_304.jpg,RAINY,2016-02-12,camera6,16.54,304,0,0
data/PATCHES/RAINY/2015-12-22/camera3/R_2015-12-22_08.48_C03_604.jpg,RAINY,2015-12-22,camera3,08.48,604,0,0
data/PATCHES/SUNNY/2016-01-16/camera5/S_2016-01-16_15.42_C05_229.jpg,SUNNY,2016-01-16,camera5,15.42,229,0,0
data/PATCHES/OVERCAST/2015-12-03/camera3/O_2015-12-03_13.16_C03_187.jpg,OVERCAST,2015-12-03,camera3,13.16,187,1,1
data/PATCHES/SUNNY/2016-01-16/camera5/S_2016-01-16_14.42_C05_201.jpg,SUNNY,2016-01-16,camera5,14.42,201,0,0
data/PATCHES/SUNNY/2016-01-16/camera7/S_2016-01-16_12.43_C07_241.jpg,SUNNY,2016-01-16,camera7,12.43,241,0,0
data/PATCHES/RAINY/2015-12-22/camera5/R_2015-12-22_08.53_C05_265.jpg,RAINY,2015-12-22,camera5,08.53,265,0,0
data/PATCHES/SUNNY/2016-01-16/camera3/S_2016-01-16_13.05_C03_604.jpg,SUNNY,2016-01-16,camera3,13.05,604,0,0
data/PATCHES/RAINY/2015-12-22/camera4/R_2015-12-22_15.51_C04_301.jpg,RAINY,2015-12-22,camera4,15.51,301,1,1
data/PATCHES/SUNNY/2016-01-16/camera8/S_2016-01-16_17.23_C08_253.jpg,SUNNY,2016-01-16,camera8,17.23,253,0,0
data/PATCHES/SUNNY/2016-01-16/camera5/S_2016-01-16_13.42_C05_236.jpg,SUNNY,2016-01-16,camera5,13.42,236,0,0
data/PATCHES/SUNNY/2015-12-17/camera7/S_2015-12-17_16.54_C07_245.jpg,SUNNY,2015-12-17,camera7,16.54,245,1,1
data/PATCHES/SUNNY/2016-01-16/camera5/S_2016-01-16_09.12_C05_270.jpg,SUNNY,2016-01-16,camera5,09.12,270,0,0
data/PATCHES/SUNNY/2015-12-17/camera1/S_2015-12-17_10.18_C01_608.jpg,SUNNY,2015-12-17,camera1,10.18,608,1,1
data/PATCHES/RAINY/2015-12-22/camera4/R_2015-12-22_16.51_C04_223.jpg,RAINY,2015-12-22,camera4,16.51,223,0,0
data/PATCHES/RAINY/2015-12-22/camera2/R_2015-12-22_08.17_C02_603.jpg,RAINY,2015-12-22,camera2,08.17,603,0,0
data/PATCHES/OVERCAST/2015-12-03/camera5/O_2015-12-03_07.48_C05_264.jpg,OVERCAST,2015-12-03,camera5,07.48,264,1,1
data/PATCHES/RAINY/2016-02-12/camera5/R_2016-02-12_07.30_C05_230.jpg,RAINY,2016-02-12,camera5,07.30,230,0,0
data/PATCHES/RAINY/2016-02-12/camera4/R_2016-02-12_09.11_C04_229.jpg,RAINY,2016-02-12,camera4,09.11,229,1,1
data/PATCHES/OVERCAST/2015-12-03/camera6/O_2015-12-03_13.19_C06_236.jpg,OVERCAST,2015-12-03,camera6,13.19,236,1,1
data/PATCHES/RAINY/2015-12-22/camera7/R_2015-12-22_13.24_C07_322.jpg,RAINY,2015-12-22,camera7,13.24,322,0,0
data/PATCHES/RAINY/2016-02-12/camera8/R_2016-02-12_09.32_C08_284.jpg,RAINY,2016-02-12,camera8,09.32,284,1,1
data/PATCHES/SUNNY/2016-01-16/camera4/S_2016-01-16_09.07_C04_192.jpg,SUNNY,2016-01-16,camera4,09.07,192,0,0
data/PATCHES/SUNNY/2016-01-16/camera7/S_2016-01-16_08.13_C07_278.jpg,SUNNY,2016-01-16,camera7,08.13,278,0,0
data/PATCHES/RAINY/2016-02-12/camera6/R_2016-02-12_09.24_C06_311.jpg,RAINY,2016-02-12,camera6,09.24,311,0,0
data/PATCHES/SUNNY/2015-12-17/camera3/S_2015-12-17_10.48_C03_223.jpg,SUNNY,2015-12-17,camera3,10.48,223,1,1
data/PATCHES/SUNNY/2016-01-16/camera3/S_2016-01-16_10.05_C03_604.jpg,SUNNY,2016-01-16,camera3,10.05,604,0,0
data/PATCHES/RAINY/2015-12-22/camera6/R_2015-12-22_09.22_C06_269.jpg,RAINY,2015-12-22,camera6,09.22,269,0,0
data/PATCHES/RAINY/2016-02-12/camera4/R_2016-02-12_09.41_C04_229.jpg,RAINY,2016-02-12,camera4,09.41,229,1,1
data/PATCHES/RAINY/2016-02-12/camera7/R_2016-02-12_15.55_C07_322.jpg,RAINY,2016-02-12,camera7,15.55,322,0,0
data/PATCHES/OVERCAST/2015-12-03/camera1/O_2015-12-03_14.41_C01_228.jpg,OVERCAST,2015-12-03,camera1,14.41,228,1,1
data/PATCHES/RAINY/2016-02-12/camera7/R_2016-02-12_08.25_C07_281.jpg,RAINY,2016-02-12,camera7,08.25,281,0,1
data/PATCHES/RAINY/2016-02-12/camera1/R_2016-02-12_09.40_C01_189.jpg,RAINY,2016-02-12,camera1,09.40,189,1,1
data/PATCHES/RAINY/2016-02-12/camera7/R_2016-02-12_15.25_C07_207.jpg,RAINY,2016-02-12,camera7,15.25,207,0,0
data/PATCHES/SUNNY/2015-12-17/camera4/S_2015-12-17_10.21_C04_301.jpg,SUNNY,2015-12-17,camera4,10.21,301,1,1
data/PATCHES/SUNNY/2016-01-16/camera1/S_2016-01-16_08.35_C01_229.jpg,SUNNY,2016-01-16,camera1,08.35,229,0,0
data/PATCHES/RAINY/2015-12-22/camera6/R_2015-12-22_14.52_C06_312.jpg,RAINY,2015-12-22,camera6,14.52,312,1,1
data/PATCHES/SUNNY/2016-01-16/camera4/S_2016-01-16_16.37_C04_303.jpg,SUNNY,2016-01-16,camera4,16.37,303,0,0
data/PATCHES/SUNNY/2015-12-17/camera3/S_2015-12-17_08.48_C03_191.jpg,SUNNY,2015-12-17,camera3,08.48,191,0,0
data/PATCHES/SUNNY/2016-01-16/camera8/S_2016-01-16_09.49_C08_316.jpg,SUNNY,2016-01-16,camera8,09.49,316,0,0
data/PATCHES/OVERCAST/2015-12-03/camera2/O_2015-12-03_14.44_C02_602.jpg,OVERCAST,2015-12-03,camera2,14.44,602,0,0
data/PATCHES/OVERCAST/2015-12-03/camera7/O_2015-12-03_08.50_C07_276.jpg,OVERCAST,2015-12-03,camera7,08.50,276,0,0
data/PATCHES/SUNNY/2016-01-16/camera3/S_2016-01-16_17.05_C03_300.jpg,SUNNY,2016-01-16,camera3,17.05,300,0,0
data/PATCHES/SUNNY/2015-12-17/camera8/S_2015-12-17_14.46_C08_286.jpg,SUNNY,2015-12-17,camera8,14.46,286,1,1
data/PATCHES/OVERCAST/2015-12-03/camera8/O_2015-12-03_09.42_C08_216.jpg,OVERCAST,2015-12-03,camera8,09.42,216,1,1
data/PATCHES/RAINY/2016-02-12/camera5/R_2016-02-12_16.31_C05_310.jpg,RAINY,2016-02-12,camera5,16.31,310,0,1
data/PATCHES/SUNNY/2016-01-16/camera8/S_2016-01-16_07.48_C08_280.jpg,SUNNY,2016-01-16,camera8,07.48,280,0,0
data/PATCHES/SUNNY/2015-12-17/camera5/S_2015-12-17_13.26_C05_274.jpg,SUNNY,2015-12-17,camera5,13.26,274,1,1
data/PATCHES/SUNNY/2016-01-16/camera8/S_2016-01-16_07.48_C08_250.jpg,SUNNY,2016-01-16,camera8,07.48,250,0,0
data/PATCHES/RAINY/2016-02-12/camera6/R_2016-02-12_08.24_C06_309.jpg,RAINY,2016-02-12,camera6,08.24,309,0,1
data/PATCHES/SUNNY/2016-01-16/camera1/S_2016-01-16_15.35_C01_185.jpg,SUNNY,2016-01-16,camera1,15.35,185,0,0
data/PATCHES/SUNNY/2016-01-16/camera4/S_2016-01-16_09.37_C04_225.jpg,SUNNY,2016-01-16,camera4,09.37,225,0,0
data/PATCHES/SUNNY/2016-01-16/camera4/S_2016-01-16_15.37_C04_606.jpg,SUNNY,2016-01-16,camera4,15.37,606,0,0
data/PATCHES/RAINY/2016-02-12/camera8/R_2016-02-12_16.41_C08_615.jpg,RAINY,2016-02-12,camera8,16.41,615,0,0
data/PATCHES/SUNNY/2016-01-16/camera6/S_2016-01-16_14.09_C06_268.jpg,SUNNY,2016-01-16,camera6,14.09,268,0,0
data/PATCHES/RAINY/2016-02-12/camera6/R_2016-02-12_13.54_C06_304.jpg,RAINY,2016-02-12,camera6,13.54,304,1,1
data/PATCHES/SUNNY/2015-12-17/camera6/S_2015-12-17_08.21_C06_233.jpg,SUNNY,2015-12-17,camera6,08.21,233,0,0
data/PATCHES/RAINY/2015-12-22/camera4/R_2015-12-22_15.21_C04_268.jpg,RAINY,2015-12-22,camera4,15.21,268,1,1
data/PATCHES/SUNNY/2016-01-16/camera7/S_2016-01-16_11.43_C07_311.jpg,SUNNY,2016-01-16,camera7,11.43,311,0,0
data/PATCHES/OVERCAST/2015-12-03/camera8/O_2015-12-03_14.20_C08_291.jpg,OVERCAST,2015-12-03,camera8,14.20,291,1,1
data/PATCHES/SUNNY/2015-12-17/camera5/S_2015-12-17_13.26_C05_273.jpg,SUNNY,2015-12-17,camera5,13.26,273,1,1
data/PATCHES/RAINY/2015-12-22/camera6/R_2015-12-22_16.22_C06_237.jpg,RAINY,2015-12-22,camera6,16.22,237,1,1
data/PATCHES/SUNNY/2015-12-17/camera1/S_2015-12-17_16.48_C01_191.jpg,SUNNY,2015-12-17,camera1,16.48,191,1,1
data/PATCHES/OVERCAST/2015-12-03/camera3/O_2015-12-03_09.46_C03_604.jpg,OVERCAST,2015-12-03,camera3,09.46,604,1,1
data/PATCHES/SUNNY/2015-12-17/camera2/S_2015-12-17_15.17_C02_185.jpg,SUNNY,2015-12-17,camera2,15.17,185,1,1
data/PATCHES/RAINY/2015-12-22/camera3/R_2015-12-22_08.18_C03_299.jpg,RAINY,2015-12-22,camera3,08.18,299,0,0
data/PATCHES/RAINY/2015-12-22/camera8/R_2015-12-22_16.57_C08_247.jpg,RAINY,2015-12-22,camera8,16.57,247,0,0
data/PATCHES/SUNNY/2016-01-16/camera6/S_2016-01-16_10.39_C06_278.jpg,SUNNY,2016-01-16,camera6,10.39,278,0,0
data/PATCHES/SUNNY/2016-01-16/camera1/S_2016-01-16_12.35_C01_605.jpg,SUNNY,2016-01-16,camera1,12.35,605,0,0
data/PATCHES/SUNNY/2016-01-16/camera9/S_2016-01-16_12.10_C09_258.jpg,SUNNY,2016-01-16,camera9,12.10,258,0,0
data/PATCHES/RAINY/2016-02-12/camera3/R_2016-02-12_08.06_C03_263.jpg,RAINY,2016-02-12,camera3,08.06,263,0,0
data/PATCHES/OVERCAST/2015-12-03/camera1/O_2015-12-03_15.11_C01_229.jpg,OVERCAST,2015-12-03,camera1,15.11,229,1,1
data/PATCHES/SUNNY/2016-01-16/camera8/S_2016-01-16_07.48_C08_282.jpg,SUNNY,2016-01-16,camera8,07.48,282,0,0
data/PATCHES/RAINY/2015-12-22/camera1/R_2015-12-22_16.18_C01_188.jpg,RAINY,2015-12-22,camera1,16.18,188,1,1
data/PATCHES/OVERCAST/2015-12-03/camera5/O_2015-12-03_08.48_C05_304.jpg,OVERCAST,2015-12-03,camera5,08.48,304,0,1
data/PATCHES/SUNNY/2015-12-17/camera1/S_2015-12-17_10.48_C01_267.jpg,SUNNY,2015-12-17,camera1,10.48,267,1,1
data/PATCHES/OVERCAST/2015-12-03/camera7/O_2015-12-03_13.50_C07_281.jpg,OVERCAST,2015-12-03,camera7,13.50,281,1,1
data/PATCHES/OVERCAST/2015-12-03/camera5/O_2015-12-03_12.48_C05_200.jpg,OVERCAST,2015-12-03,camera5,12.48,200,1,1
data/PATCHES/SUNNY/2016-01-16/camera8/S_2016-01-16_10.20_C08_313.jpg,SUNNY,2016-01-16,camera8,10.20,313,0,0
data/PATCHES/RAINY/2016-02-12/camera4/R_2016-02-12_15.11_C04_196.jpg,RAINY,2016-02-12,camera4,15.11,196,1,1
data/PATCHES/OVERCAST/2015-12-03/camera1/O_2015-12-03_12.41_C01_222.jpg,OVERCAST,2015-12-03,camera1,12.41,222,1,1
data/PATCHES/SUNNY/2015-12-17/camera5/S_2015-12-17_11.26_C05_200.jpg,SUNNY,2015-12-17,camera5,11.26,200,1,1
data/PATCHES/SUNNY/2015-12-17/camera8/S_2015-12-17_11.12_C08_613.jpg,SUNNY,2015-12-17,camera8,11.12,613,1,1
data/PATCHES/SUNNY/2015-12-17/camera4/S_2015-12-17_11.51_C04_298.jpg,SUNNY,2015-12-17,camera4,11.51,298,1,1
data/PATCHES/RAINY/2016-02-12/camera5/R_2016-02-12_16.01_C05_297.jpg,RAINY,2016-02-12,camera5,16.01,297,1,1
data/PATCHES/SUNNY/2015-12-17/camera4/S_2015-12-17_14.21_C04_300.jpg,SUNNY,2015-12-17,camera4,14.21,300,0,0
data/PATCHES/SUNNY/2016-01-16/camera4/S_2016-01-16_15.37_C04_267.jpg,SUNNY,2016-01-16,camera4,15.37,267,0,0
data/PATCHES/OVERCAST/2015-12-03/camera7/O_2015-12-03_14.50_C07_321.jpg,OVERCAST,2015-12-03,camera7,14.50,321,1,1
