PLID,PSID,Longitude,Latitude
1,75,-1.8404,52.43796
1,76,-1.84041,52.43795
1,77,-1.84042,52.43794
1,78,-1.84043,52.43793
1,79,-1.84044,52.43792
1,80,-1.84045,52.43791
1,81,-1.84046,52.4379
1,82,-1.84047,52.43789
1,83,-1.84048,52.43788
1,84,-1.84049,52.43787
1,85,-1.8405,52.43786
1,86,-1.84051,52.43785
1,87,-1.84052,52.43784
1,88,-1.84053,52.43783
1,89,-1.84054,52.43782
1,90,-1.84055,52.43781
1,91,-1.84056,52.4378
1,92,-1.84057,52.43779
1,93,-1.84058,52.43778
1,94,-1.84059,52.43777
1,95,-1.8406,52.43776
1,96,-1.84061,52.43775
1,97,-1.84062,52.43774
1,98,-1.84063,52.43773
1,99,-1.84064,52.43772
1,100,-1.84065,52.43771
1,101,-1.84066,52.4377
1,102,-1.84067,52.43769
1,103,-1.84068,52.43768
1,104,-1.84069,52.43767
1,105,-1.8407,52.43766
1,106,-1.84071,52.43765
1,107,-1.84072,52.43764
1,108,-1.84073,52.43763
1,109,-1.84074,52.43762
1,110,-1.84075,52.43761
1,111,-1.84076,52.4376
1,112,-1.84077,52.43759
1,113,-1.84078,52.43758
1,114,-1.84079,52.43757
1,115,-1.8408,52.43756
1,116,-1.84081,52.43755
1,117,-1.84082,52.43754
1,118,-1.84083,52.43753
1,119,-1.84084,52.43752
1,120,-1.84085,52.43751
1,121,-1.84086,52.4375
1,122,-1.84087,52.43749
1,123,-1.84088,52.43748
1,124,-1.84089,52.43747
1,125,-1.8409,52.43746
1,126,-1.84091,52.43745
1,127,-1.84092,52.43744
1,128,-1.84093,52.43743
1,129,-1.84094,52.43742
1,130,-1.84095,52.43741
1,131,-1.84096,52.4374
1,132,-1.84097,52.43739
1,133,-1.84098,52.43738
1,134,-1.84099,52.43737
1,135,-1.841,52.43736
1,136,-1.84101,52.43735
1,137,-1.84102,52.43734
1,138,-1.84103,52.43733
1,139,-1.84104,52.43732
1,140,-1.84105,52.43731
1,141,-1.84106,52.4373
1,142,-1.84107,52.43729
1,143,-1.84108,52.43728
1,144,-1.84109,52.43727
1,145,-1.8411,52.43726
1,146,-1.84111,52.43725
1,147,-1.84112,52.43724
1,148,-1.84113,52.43723
1,149,-1.84114,52.43722
1,150,-1.84115,52.43721
1,151,-1.84116,52.4372
1,152,-1.84117,52.43719
1,153,-1.84118,52.43718
1,154,-1.84119,52.43717
1,155,-1.8412,52.43716
1,156,-1.84121,52.43715
1,157,-1.84122,52.43714
1,158,-1.84123,52.43713
1,159,-1.84124,52.43712
1,160,-1.84125,52.43711
1,161,-1.84126,52.4371
1,162,-1.84127,52.43709
1,163,-1.84128,52.43708
1,164,-1.84129,52.43707
1,165,-1.8413,52.43706
1,166,-1.84131,52.43705
1,167,-1.84132,52.43704
1,168,-1.84133,52.43703
1,169,-1.84134,52.43702
1,170,-1.84135,52.43701
1,171,-1.84136,52.437
1,172,-1.84137,52.43699
1,173,-1.84138,52.43698
1,174,-1.84139,52.43697
1,175,-1.8414,52.43696
1,176,-1.84141,52.43695
1,177,-1.84142,52.43694
1,178,-1.84143,52.43693
1,179,-1.84144,52.43692
1,180,-1.84145,52.43691
1,181,-1.84146,52.4369
1,182,-1.84147,52.43689
1,183,-1.84148,52.43688
1,184,-1.84149,52.43687
1,185,-1.8415,52.43686
1,186,-1.84151,52.43685
1,187,-1.84152,52.43684
1,188,-1.84153,52.43683
1,189,-1.84154,52.43682
1,190,-1.84155,52.43681
1,191,-1.84156,52.4368
1,192,-1.84157,52.43679
1,193,-1.84158,52.43678
1,194,-1.84159,52.43677
1,195,-1.8416,52.43676
1,196,-1.84161,52.43675
1,197,-1.84162,52.43674
1,198,-1.84163,52.43673
1,199,-1.84164,52.43672
1,200,-1.84165,52.43671
1,201,-1.84166,52.4367
1,202,-1.84167,52.43669
1,203,-1.84168,52.43668
1,204,-1.84169,52.43667
1,205,-1.8417,52.43666
1,206,-1.84171,52.43665
1,207,-1.84172,52.43664
1,208,-1.84173,52.43663
1,209,-1.84174,52.43662
1,210,-1.84175,52.43661
1,211,-1.84176,52.4366
1,212,-1.84177,52.43659
1,213,-1.84178,52.43658
1,214,-1.84179,52.43657
1,215,-1.8418,52.43656
1,216,-1.84181,52.43655
1,217,-1.84182,52.43654
1,218,-1.84183,52.43653
1,219,-1.84184,52.43652
1,220,-1.84185,52.43651
1,221,-1.84186,52.4365
1,222,-1.84187,52.43649
1,223,-1.84188,52.43648
1,224,-1.84189,52.43647
1,225,-1.8419,52.43646
1,226,-1.84191,52.43645
1,227,-1.84192,52.43644
1,228,-1.84193,52.43643
1,229,-1.84194,52.43642
1,230,-1.84195,52.43641
1,231,-1.84196,52.4364
1,232,-1.84197,52.43639
1,233,-1.84198,52.43638
1,234,-1.84199,52.43637
1,235,-1.842,52.43636
1,236,-1.84201,52.43635
1,237,-1.84202,52.43634
1,238,-1.84203,52.43633
1,239,-1.84204,52.43632
1,240,-1.84205,52.43631
1,241,-1.84206,52.4363
1,242,-1.84207,52.43629
1,243,-1.84208,52.43628
1,244,-1.84209,52.43627
1,245,-1.8421,52.43626
1,246,-1.84211,52.43625
1,247,-1.84212,52.43624
1,248,-1.84213,52.43623
1,249,-1.84214,52.43622
1,250,-1.84215,52.43621
1,251,-1.84216,52.4362
1,252,-1.84217,52.43619
1,253,-1.84218,52.43618
1,254,-1.84219,52.43617
1,255,-1.8422,52.43616
1,256,-1.84221,52.43615
1,257,-1.84222,52.43614
1,258,-1.84223,52.43613
1,259,-1.84224,52.43612
1,260,-1.84225,52.43611
1,261,-1.84226,52.4361
1,262,-1.84227,52.43609
1,263,-1.84228,52.43608
1,264,-1.84229,52.43607
1,265,-1.8423,52.43606
1,266,-1.84231,52.43605
1,267,-1.84232,52.43604
1,268,-1.84233,52.43603
1,269,-1.84234,52.43602
1,270,-1.84235,52.43601
1,271,-1.84236,52.436
1,272,-1.84237,52.43599
1,273,-1.84238,52.43598
1,274,-1.84239,52.43597
1,275,-1.8424,52.43596
1,276,-1.84241,52.43595
1,277,-1.84242,52.43594
1,278,-1.84243,52.43593
1,279,-1.84244,52.43592
1,280,-1.84245,52.43591
1,281,-1.84246,52.4359
1,282,-1.84247,52.43589
1,283,-1.84248,52.43588
1,284,-1.84249,52.43587
1,285,-1.8425,52.43586
1,286,-1.84251,52.43585
1,287,-1.84252,52.43584
1,288,-1.84253,52.43583
1,289,-1.83964,52.43872
1,290,-1.83963,52.43873
1,291,-1.83962,52.43874
1,292,-1.83961,52.43875
1,293,-1.8396,52.43876
1,294,-1.83959,52.43877
1,295,-1.83958,52.43878
1,296,-1.83957,52.43879
1,297,-1.83956,52.4388
1,298,-1.83955,52.43881
1,299,-1.83954,52.43882
1,300,-1.83953,52.43883
1,301,-1.83952,52.43884
1,302,-1.83951,52.43885
1,303,-1.8395,52.43886
1,304,-1.83949,52.43887
1,305,-1.83948,52.43888
1,306,-1.83947,52.43889
1,307,-1.83946,52.4389
1,308,-1.83945,52.43891
1,309,-1.83944,52.43892
1,310,-1.83943,52.43893
1,311,-1.83942,52.43894
1,312,-1.83941,52.43895
1,313,-1.8394,52.43896
1,314,-1.83939,52.43897
1,315,-1.83938,52.43898
1,316,-1.83937,52.43899
1,317,-1.83936,52.439
1,318,-1.83935,52.43901
1,319,-1.83934,52.43902
1,320,-1.83933,52.43903
1,321,-1.83932,52.43904
1,322,-1.83931,52.43905
1,323,-1.8393,52.43906
1,324,-1.83929,52.43907
1,325,-1.83928,52.43908
1,326,-1.83927,52.43909
1,327,-1.83926,52.4391
1,328,-1.83925,52.43911
1,329,-1.83924,52.43912
1,330,-1.83923,52.43913
1,331,-1.83922,52.43914
1,332,-1.83921,52.43915
1,333,-1.8392,52.43916
1,334,-1.83919,52.43917
1,335,-1.83918,52.43918
1,336,-1.83917,52.43919
1,337,-1.83916,52.4392
1,338,-1.83915,52.43921
1,339,-1.83914,52.43922
1,340,-1.83913,52.43923
1,341,-1.83912,52.43924
1,342,-1.83911,52.43925
1,343,-1.8391,52.43926
1,344,-1.83909,52.43927
1,345,-1.83908,52.43928
1,346,-1.83907,52.43929
1,347,-1.83906,52.4393
1,348,-1.83905,52.43931
1,349,-1.83904,52.43932
1,350,-1.83903,52.43933
1,351,-1.83902,52.43934
1,352,-1.83901,52.43935
1,353,-1.839,52.43936
1,354,-1.83899,52.43937
1,355,-1.83898,52.43938
1,356,-1.83897,52.43939
1,357,-1.83896,52.4394
1,358,-1.83895,52.43941
1,359,-1.83894,52.43942
1,360,-1.83893,52.43943
1,361,-1.83892,52.43944
1,362,-1.83891,52.43945
1,363,-1.8389,52.43946
1,364,-1.83889,52.43947
1,365,-1.83888,52.43948
1,366,-1.83887,52.43949
1,367,-1.83886,52.4395
1,368,-1.83885,52.43951
1,369,-1.83884,52.43952
1,370,-1.83883,52.43953
1,371,-1.83882,52.43954
1,372,-1.83881,52.43955
1,373,-1.8388,52.43956
1,374,-1.83879,52.43957
1,375,-1.83878,52.43958
1,376,-1.83877,52.43959
1,377,-1.83876,52.4396
1,378,-1.83875,52.43961
1,379,-1.83874,52.43962
1,380,-1.83873,52.43963
1,381,-1.83872,52.43964
1,382,-1.83871,52.43965
1,383,-1.8387,52.43966
1,384,-1.83869,52.43967
1,385,-1.83868,52.43968
1,386,-1.83867,52.43969
1,387,-1.83866,52.4397
1,388,-1.83865,52.43971
1,389,-1.83864,52.43972
1,390,-1.83863,52.43973
1,391,-1.83862,52.43974
1,392,-1.83861,52.43975
1,393,-1.8386,52.43976
1,394,-1.83859,52.43977
1,395,-1.83858,52.43978
1,396,-1.83857,52.43979
1,397,-1.83856,52.4398
1,398,-1.83855,52.43981
1,399,-1.83854,52.43982
1,400,-1.83853,52.43983
1,401,-1.83852,52.43984
1,402,-1.83851,52.43985
1,403,-1.8385,52.43986
1,404,-1.83849,52.43987
1,405,-1.83848,52.43988
1,406,-1.83847,52.43989
1,407,-1.83846,52.4399
1,408,-1.83845,52.43991
1,409,-1.83844,52.43992
1,410,-1.83843,52.43993
1,411,-1.83842,52.43994
1,412,-1.83841,52.43995
1,413,-1.8384,52.43996
1,414,-1.83839,52.43997
1,415,-1.83838,52.43998
1,416,-1.83837,52.43999
1,417,-1.83836,52.44
1,418,-1.83835,52.44001
1,419,-1.83834,52.44002
1,420,-1.83833,52.44003
1,421,-1.83832,52.44004
1,422,-1.83831,52.44005
1,423,-1.8383,52.44006
1,424,-1.83829,52.44007
1,425,-1.83828,52.44008
1,426,-1.83827,52.44009
1,427,-1.83826,52.4401
1,428,-1.83825,52.44011
1,429,-1.83824,52.44012
1,430,-1.83823,52.44013
1,431,-1.83822,52.44014
1,432,-1.83821,52.44015
1,433,-1.8382,52.44016
1,434,-1.83819,52.44017
1,435,-1.83818,52.44018
1,436,-1.83817,52.44019
1,437,-1.83816,52.4402
1,438,-1.83815,52.44021
1,439,-1.83814,52.44022
1,440,-1.83813,52.44023
1,441,-1.83812,52.44024
1,442,-1.83811,52.44025
1,443,-1.8381,52.44026
1,444,-1.83809,52.44027
1,445,-1.83808,52.44028
1,446,-1.83807,52.44029
1,447,-1.83806,52.4403
1,448,-1.83805,52.44031
1,449,-1.83804,52.44032
1,450,-1.83803,52.44033
1,451,-1.83802,52.44034
1,452,-1.83801,52.44035
1,453,-1.838,52.44036
1,454,-1.83799,52.44037
1,455,-1.83798,52.44038
1,456,-1.83797,52.44039
1,457,-1.83796,52.4404
1,458,-1.83795,52.44041
1,459,-1.83794,52.44042
1,460,-1.83793,52.44043
1,461,-1.83792,52.44044
1,462,-1.83791,52.44045
1,463,-1.8379,52.44046
1,464,-1.83789,52.44047
1,465,-1.83788,52.44048
1,466,-1.83787,52.44049
1,467,-1.83786,52.4405
1,468,-1.83785,52.44051
1,469,-1.83784,52.44052
1,470,-1.83783,52.44053
1,471,-1.83782,52.44054
1,472,-1.83781,52.44055
1,473,-1.8378,52.44056
1,474,-1.83779,52.44057
1,475,-1.83778,52.44058
1,476,-1.83777,52.44059
1,477,-1.83776,52.4406
1,478,-1.83775,52.44061
1,479,-1.83774,52.44062
1,480,-1.83773,52.44063
1,481,-1.83772,52.44064
1,482,-1.83771,52.44065
1,483,-1.8377,52.44066
1,484,-1.83769,52.44067
1,485,-1.83768,52.44068
1,486,-1.83767,52.44069
1,487,-1.83766,52.4407
1,488,-1.83765,52.44071
1,489,-1.83764,52.44072
1,490,-1.83763,52.44073
1,491,-1.83762,52.44074
1,492,-1.83761,52.44075
1,493,-1.8376,52.44076
1,494,-1.83759,52.44077
1,495,-1.83758,52.44078
1,496,-1.83757,52.44079
1,497,-1.83756,52.4408
1,498,-1.83755,52.44081
1,499,-1.83754,52.44082
1,500,-1.83753,52.44083
1,501,-1.83752,52.44084
1,502,-1.83751,52.44085
1,503,-1.8375,52.44086
1,504,-1.83749,52.44087
1,505,-1.83748,52.44088
1,506,-1.83747,52.44089
1,507,-1.83746,52.4409
1,508,-1.83745,52.44091
1,509,-1.83744,52.44092
1,510,-1.83743,52.44093
1,511,-1.83742,52.44094
1,512,-1.83741,52.44095
1,513,-1.8374,52.44096
1,514,-1.83739,52.44097
1,515,-1.83738,52.44098
1,516,-1.83737,52.44099
1,517,-1.83736,52.441
1,518,-1.83735,52.44101
1,519,-1.83734,52.44102
1,520,-1.83733,52.44103
1,521,-1.83732,52.44104
1,522,-1.83731,52.44105
1,523,-1.8373,52.44106
1,524,-1.83729,52.44107
1,525,-1.83728,52.44108
1,526,-1.83727,52.44109
1,527,-1.83726,52.4411
1,528,-1.83725,52.44111
1,529,-1.83724,52.44112
1,530,-1.83723,52.44113
1,531,-1.83722,52.44114
1,532,-1.83721,52.44115
1,533,-1.8372,52.44116
1,534,-1.83719,52.44117
1,535,-1.83718,52.44118
1,536,-1.83717,52.44119
1,537,-1.83716,52.4412
1,538,-1.83715,52.44121
1,539,-1.83714,52.44122
1,540,-1.83713,52.44123
1,541,-1.83712,52.44124
1,542,-1.83711,52.44125
1,543,-1.8371,52.44126
1,544,-1.83709,52.44127
1,545,-1.83708,52.44128
1,546,-1.83707,52.44129
1,547,-1.83706,52.4413
1,548,-1.83705,52.44131
1,549,-1.83704,52.44132
1,550,-1.83703,52.44133
1,551,-1.83702,52.44134
1,552,-1.83701,52.44135
1,553,-1.837,52.44136
1,554,-1.83699,52.44137
1,555,-1.83698,52.44138
1,556,-1.83697,52.44139
1,557,-1.83696,52.4414
1,558,-1.83695,52.44141
1,559,-1.83694,52.44142
1,560,-1.83693,52.44143
1,561,-1.83692,52.44144
1,562,-1.83691,52.44145
1,563,-1.8369,52.44146
1,564,-1.83689,52.44147
1,565,-1.83688,52.44148
1,566,-1.83687,52.44149
1,567,-1.83686,52.4415
1,568,-1.83685,52.44151
1,569,-1.83684,52.44152
1,570,-1.83683,52.44153
1,571,-1.83682,52.44154
1,572,-1.83681,52.44155
1,573,-1.8368,52.44156
1,574,-1.83679,52.44157
1,575,-1.83678,52.44158
1,576,-1.83677,52.44159
1,577,-1.83676,52.4416
2,578,-1.93364,52.44397
2,579,-1.93365,52.44396
2,580,-1.93366,52.44395
2,581,-1.93367,52.44394
2,582,-1.93368,52.44393
2,583,-1.93369,52.44392
2,584,-1.9337,52.44391
2,585,-1.93371,52.4439
2,586,-1.93372,52.44389
2,587,-1.93373,52.44388
2,588,-1.93374,52.44387
2,589,-1.93375,52.44386
2,590,-1.93376,52.44385
2,591,-1.93377,52.44384
2,592,-1.93378,52.44383
2,593,-1.93379,52.44382
2,594,-1.9338,52.44381
2,595,-1.93381,52.4438
2,596,-1.93382,52.44379
2,597,-1.93383,52.44378
2,598,-1.93384,52.44377
2,599,-1.93385,52.44376
2,600,-1.93386,52.44375
2,601,-1.93387,52.44374
2,602,-1.93388,52.44373
2,603,-1.93389,52.44372
2,604,-1.9339,52.44371
2,605,-1.93391,52.4437
2,606,-1.93392,52.44369
2,607,-1.93393,52.44368
2,608,-1.93394,52.44367
2,609,-1.93395,52.44366
2,610,-1.93396,52.44365
2,611,-1.93397,52.44364
2,612,-1.93398,52.44363
2,613,-1.93399,52.44362
2,614,-1.934,52.44361
2,615,-1.93401,52.4436
2,616,-1.93402,52.44359
2,617,-1.93403,52.44358
2,618,-1.93404,52.44357
2,619,-1.93405,52.44356
2,620,-1.93406,52.44355
2,621,-1.93407,52.44354
2,622,-1.93408,52.44353
2,623,-1.93409,52.44352
2,624,-1.9341,52.44351
2,625,-1.93411,52.4435
2,626,-1.93412,52.44349
2,627,-1.93413,52.44348
2,628,-1.93414,52.44347
2,629,-1.93415,52.44346
2,630,-1.93416,52.44345
2,631,-1.93417,52.44344
2,632,-1.93418,52.44343
2,633,-1.93419,52.44342
2,634,-1.9342,52.44341
2,635,-1.93421,52.4434
2,636,-1.93422,52.44339
2,637,-1.93423,52.44338
2,638,-1.93424,52.44337
2,639,-1.93425,52.44336
2,640,-1.93426,52.44335
2,641,-1.93427,52.44334
2,642,-1.93428,52.44333
2,643,-1.93429,52.44332
2,644,-1.9343,52.44331
2,645,-1.93431,52.4433
2,646,-1.93432,52.44329
2,647,-1.93433,52.44328
2,648,-1.93434,52.44327
2,649,-1.93435,52.44326
2,650,-1.93436,52.44325
2,651,-1.93437,52.44324
2,652,-1.93438,52.44323
2,653,-1.93439,52.44322
2,654,-1.9344,52.44321
2,655,-1.93441,52.4432
2,656,-1.93442,52.44319
2,657,-1.93443,52.44318
2,658,-1.93444,52.44317
2,659,-1.93445,52.44316
2,660,-1.93446,52.44315
2,661,-1.93447,52.44314
2,662,-1.93448,52.44313
2,663,-1.93449,52.44312
2,664,-1.9345,52.44311
2,665,-1.93451,52.4431
2,666,-1.93452,52.44309
2,667,-1.93453,52.44308
2,668,-1.93454,52.44307
2,669,-1.93455,52.44306
2,670,-1.93456,52.44305
2,671,-1.93457,52.44304
2,672,-1.93458,52.44303
2,673,-1.93459,52.44302
2,674,-1.9346,52.44301
2,675,-1.93461,52.443
2,676,-1.93462,52.44299
2,677,-1.93463,52.44298
2,678,-1.93464,52.44297
2,679,-1.93465,52.44296
2,680,-1.93466,52.44295
2,681,-1.93467,52.44294
2,682,-1.93468,52.44293
2,683,-1.93469,52.44292
2,684,-1.9347,52.44291
2,685,-1.93471,52.4429
2,686,-1.93472,52.44289
2,687,-1.93473,52.44288
2,688,-1.93474,52.44287
2,689,-1.93475,52.44286
2,690,-1.93476,52.44285
2,691,-1.93477,52.44284
2,692,-1.93478,52.44283
2,693,-1.93479,52.44282
2,694,-1.9348,52.44281
2,695,-1.93481,52.4428
2,696,-1.93482,52.44279
2,697,-1.93483,52.44278
2,698,-1.93484,52.44277
2,699,-1.93485,52.44276
2,700,-1.93486,52.44275
2,701,-1.93487,52.44274
2,702,-1.93488,52.44273
2,703,-1.93489,52.44272
2,704,-1.9349,52.44271
2,705,-1.93491,52.4427
2,706,-1.93492,52.44269
2,707,-1.93493,52.44268
2,708,-1.93494,52.44267
2,709,-1.93495,52.44266
2,710,-1.93496,52.44265
2,711,-1.93497,52.44264
2,712,-1.93498,52.44263
2,713,-1.93499,52.44262
2,714,-1.935,52.44261
2,715,-1.93501,52.4426
2,716,-1.93502,52.44259
2,717,-1.93503,52.44258
2,718,-1.93504,52.44257
2,719,-1.93505,52.44256
2,720,-1.93506,52.44255
2,721,-1.93507,52.44254
2,722,-1.93508,52.44253
2,723,-1.93509,52.44252
2,724,-1.9351,52.44251
2,725,-1.93511,52.4425
2,726,-1.93512,52.44249
2,727,-1.93513,52.44248
2,728,-1.93514,52.44247
2,729,-1.93515,52.44246
2,730,-1.93516,52.44245
2,731,-1.93517,52.44244
2,732,-1.93518,52.44243
2,733,-1.93519,52.44242
2,734,-1.9352,52.44241
2,735,-1.93521,52.4424
2,736,-1.93362,52.44399
2,737,-1.93361,52.444
2,738,-1.9336,52.44401
2,739,-1.93359,52.44402
2,740,-1.93358,52.44403
2,741,-1.93357,52.44404
2,742,-1.93356,52.44405
2,743,-1.93355,52.44406
2,744,-1.93354,52.44407
2,745,-1.93353,52.44408
2,746,-1.93352,52.44409
2,747,-1.93351,52.4441
2,748,-1.9335,52.44411
2,749,-1.93349,52.44412
2,750,-1.93348,52.44413
2,751,-1.93347,52.44414
2,752,-1.93346,52.44415
2,753,-1.93345,52.44416
2,754,-1.93344,52.44417
2,755,-1.93343,52.44418
2,756,-1.93342,52.44419
2,757,-1.93341,52.4442
2,758,-1.9334,52.44421
2,759,-1.93339,52.44422
2,760,-1.93338,52.44423
2,761,-1.93337,52.44424
2,762,-1.93336,52.44425
2,763,-1.93335,52.44426
2,764,-1.93334,52.44427
2,765,-1.93333,52.44428
2,766,-1.93332,52.44429
2,767,-1.93331,52.4443
2,768,-1.9333,52.44431
2,769,-1.93329,52.44432
2,770,-1.93328,52.44433
2,771,-1.93327,52.44434
2,772,-1.93326,52.44435
2,773,-1.93325,52.44436
2,774,-1.93324,52.44437
2,775,-1.93323,52.44438
2,776,-1.93322,52.44439
2,777,-1.93321,52.4444
2,778,-1.9332,52.44441
2,779,-1.93319,52.44442
2,780,-1.93318,52.44443
2,781,-1.93317,52.44444
2,782,-1.93316,52.44445
2,783,-1.93315,52.44446
2,784,-1.93314,52.44447
2,785,-1.93313,52.44448
2,786,-1.93312,52.44449
2,787,-1.93311,52.4445
2,788,-1.9331,52.44451
2,789,-1.93309,52.44452
2,790,-1.93308,52.44453
2,791,-1.93307,52.44454
2,792,-1.93306,52.44455
2,793,-1.93305,52.44456
2,794,-1.93304,52.44457
2,795,-1.93303,52.44458
2,796,-1.93302,52.44459
2,797,-1.93301,52.4446
2,798,-1.933,52.44461
2,799,-1.93299,52.44462
2,800,-1.93298,52.44463
2,801,-1.93297,52.44464
2,802,-1.93296,52.44465
2,803,-1.93295,52.44466
2,804,-1.93294,52.44467
2,805,-1.93293,52.44468
2,806,-1.93292,52.44469
2,807,-1.93291,52.4447
2,808,-1.9329,52.44471
2,809,-1.93289,52.44472
2,810,-1.93288,52.44473
2,811,-1.93287,52.44474
2,812,-1.93286,52.44475
2,813,-1.93285,52.44476
2,814,-1.93284,52.44477
2,815,-1.93283,52.44478
2,816,-1.93282,52.44479
2,817,-1.93281,52.4448
2,818,-1.9328,52.44481
2,819,-1.93279,52.44482
2,820,-1.93278,52.44483
2,821,-1.93277,52.44484
2,822,-1.93276,52.44485
2,823,-1.93275,52.44486
2,824,-1.93274,52.44487
2,825,-1.93273,52.44488
2,826,-1.93272,52.44489
2,827,-1.93271,52.4449
2,828,-1.9327,52.44491
2,829,-1.93269,52.44492
2,830,-1.93268,52.44493
2,831,-1.93267,52.44494
2,832,-1.93266,52.44495
2,833,-1.93265,52.44496
2,834,-1.93264,52.44497
2,835,-1.93263,52.44498
2,836,-1.93262,52.44499
2,837,-1.93261,52.445
2,838,-1.9326,52.44501
2,839,-1.93259,52.44502
2,840,-1.93258,52.44503
2,841,-1.93257,52.44504
2,842,-1.93256,52.44505
2,843,-1.93255,52.44506
2,844,-1.93254,52.44507
2,845,-1.93253,52.44508
2,846,-1.93252,52.44509
2,847,-1.93251,52.4451
2,848,-1.9325,52.44511
2,849,-1.93249,52.44512
2,850,-1.93248,52.44513
2,851,-1.93247,52.44514
2,852,-1.93246,52.44515
2,853,-1.93245,52.44516
2,854,-1.93244,52.44517
2,855,-1.93243,52.44518
2,856,-1.93242,52.44519
2,857,-1.93241,52.4452
2,858,-1.9324,52.44521
2,859,-1.93239,52.44522
2,860,-1.93238,52.44523
2,861,-1.93237,52.44524
2,862,-1.93236,52.44525
2,863,-1.93235,52.44526
2,864,-1.93234,52.44527
2,865,-1.93233,52.44528
2,866,-1.93232,52.44529
2,867,-1.93231,52.4453
2,868,-1.9323,52.44531
2,869,-1.93229,52.44532
2,870,-1.93228,52.44533
2,871,-1.93227,52.44534
2,872,-1.93226,52.44535
2,873,-1.93225,52.44536
2,874,-1.93224,52.44537
2,875,-1.93223,52.44538
2,876,-1.93222,52.44539
2,877,-1.93221,52.4454
2,878,-1.9322,52.44541
2,879,-1.93219,52.44542
2,880,-1.93218,52.44543
2,881,-1.93217,52.44544
2,882,-1.93216,52.44545
2,883,-1.93215,52.44546
2,884,-1.93214,52.44547
2,885,-1.93213,52.44548
2,886,-1.93212,52.44549
2,887,-1.93211,52.4455
2,888,-1.9321,52.44551
2,889,-1.93209,52.44552
2,890,-1.93208,52.44553
2,891,-1.93207,52.44554
2,892,-1.93206,52.44555
2,893,-1.93205,52.44556
2,894,-1.93204,52.44557
3,895,-1.91222,52.44401
3,896,-1.91223,52.444
3,897,-1.91224,52.44399
3,898,-1.91225,52.44398
3,899,-1.91226,52.44397
3,900,-1.91227,52.44396
3,901,-1.91228,52.44395
3,902,-1.91229,52.44394
3,903,-1.9123,52.44393
3,904,-1.91231,52.44392
3,905,-1.91232,52.44391
3,906,-1.91233,52.4439
3,907,-1.91234,52.44389
3,908,-1.91235,52.44388
3,909,-1.91236,52.44387
3,910,-1.91237,52.44386
3,911,-1.91238,52.44385
3,912,-1.91239,52.44384
3,913,-1.9124,52.44383
3,914,-1.91241,52.44382
3,915,-1.91242,52.44381
3,916,-1.91243,52.4438
3,917,-1.91244,52.44379
3,918,-1.91245,52.44378
3,919,-1.91246,52.44377
3,920,-1.91247,52.44376
3,921,-1.91248,52.44375
3,922,-1.91249,52.44374
3,923,-1.9125,52.44373
3,924,-1.91251,52.44372
3,925,-1.91252,52.44371
3,926,-1.91253,52.4437
3,927,-1.91254,52.44369
3,928,-1.91255,52.44368
3,929,-1.91256,52.44367
3,930,-1.91257,52.44366
3,931,-1.91258,52.44365
3,932,-1.91259,52.44364
